By Abstract,By Title,Title
,N,"Effects of 4-aminopyridine on cardiac repolarization, PR interval, and heart rate in patients with spinal cord injury"
,N,Effects of Ballistocardiogram Peak Detection Jitters on the Quality of Heart Rate Variability Features: A Simulation-Based Case Study in the Context of Sleep Staging
,N,Effects of Different Fasting Interventions on Cardiac Autonomic Modulation in Healthy Individuals: A Secondary Outcome Analysis of the EDIF Trial
,N,Effects of dobutamine on isovolumic and ejection phase indices of cardiac contractility in conscious healthy dogs.
,N,Effects of Sex on the Susceptibility for Atrial Fibrillation in Pigs with Ischemic Heart Failure
,N,Efficiency of CIDR-Based Protocols Including GnRH Instead of eCG for Estrus Synchronization in Sheep
,N,Efficient Real-Time R and QRS Detection Method Using a Pair of Derivative Filters and Max Filter for Portable ECG Device
,N,Elasticity-based determination of isovolumetric phases in the human heart
,N,Electrocardiogram Changes in the Postictal Phase of Epileptic Seizure: Results from a Prospective Study
,N,Electrocardiogram Features of Left Ventricular Excessive Trabeculation with Preserved Cardiac Function in Light of Cardiac Magnetic Resonance and Genetics.
,N,Electrocardiographic Abnormalities and Mortality in Epilepsy Patients
,N,"Electrocardiographic and clinical anticipation of the left ventricular systolic function, systemic vascular resistance, and myocardial hypertrophy--normal values and validation of method in patients with arterial hypertension."
,N,Electrocardiographic Approach to Atrial Flutter: Classifications and Differential Diagnosis.
,N,Electrocardiographic Changes Associated with Early Repolarization Pattern in Healthy Young Males
,N,Electrocardiography and Doppler echocardiography for risk stratification in patients with chronic heart failure: Incremental prognostic value of QRS duration and a restrictive mitral filling pattern
,N,"Electrophysiological and haemodynamic changes with trazodone, amitriptyline and placebo in depressed out-patients."
,N,Empirical mode decomposition in analysis of hemodynamic response to static handgrip
,N,Enhancing Comprehensive Assessments in Chronic Heart Failure Caused by Ischemic Heart Disease: The Diagnostic Utility of Holter ECG Parameters
,N,Enoximone therapy as pharmacological bridging to cardiac transplantation.
,N,Entropic Measures of Complexity of Short-Term Dynamics of Nocturnal Heartbeats in an Aging Population
,N,Entropy Analysis of RR and QT Interval Variability during Orthostatic and Mental Stress in Healthy Subjects
,N,Entropy Information of Cardiorespiratory Dynamics in Neonates during Sleep
,N,Entropy Measures in the Assessment of Heart Rate Variability in Patients with Cardiodepressive Vasovagal Syncope
,N,Estimation of Respiratory Frequency in Women and Men by Kubios HRV Software Using the Polar H10 or Movesense Medical ECG Sensor during an Exercise Ramp
,N,"Evaluation of asymptomatic patients with chronic Chagas disease through ambulatory electrocardiogram, echocardiogram and B-Type natriuretic peptide analyses."
,N,Evaluation of Atrial Electromechanical Delay to Predict Atrial Fibrillation in Hemodialysis Patients
,N,Evaluation of cardiac function in patients with thalassemia intermedia.
,N,Evaluation of Cardiac Repolarization Indices in Epilepsy Patients Treated with Carbamazepine and Valproic Acid
,N,Evaluation of doxorubicin cardiotoxicity in patients treated intermittently with beta-methyldigoxin.
,N,Evaluation of ECG Features for the Classification of Post-Stroke Survivors with a Diagnostic Approach
,N,Evaluation of factors affecting persistence of atrial fibrillation in patients with concomitant atrial flutter treated with percutaneous radiofrequency current ablation of the right atrial cavotricuspid isthmus.
,N,Evaluation of myocardial performance during wheelchair ergometer exercise.
,N,Evaluation of Prognostic Outcomes in Patients with Acute Myocardial Infarction by 2D-STI Combined with Dynamic Electrocardiogram; [2D-STI联合动态心电图对急性心肌梗死患者预后结局的评估]
,N,Evaluation of Stress Levels of Trainee Cardiac Surgery Residents during Training Interventions Using Physiological Stress Parameters
,N,Experimental Study for Determining the Parameters Required for Detecting ECG and EEG Related Diseases during the Timed-Up and Go Test
,N,"Exploring Seafarersâ€™ Workload Recognition Model with EEG, ECG and Task Scenariosâ€™ Complexity: A Bridge Simulation Study"
,N,Extraction of Fetal Electrocardiogram by Combining Deep Learning and SVD-ICA-NMF Methods
,N,"Extraordinary efficacy of 16 alpha-gitoxin, an ultra-short acting semi-synthetic digitalis glycoside."
,N,Factors Related to Percutaneous Coronary Intervention among Older Patients with Heart Disease in Rural Hospitals: A Retrospective Cohort Study
,N,Farnesyltransferase inhibitors: Overview of their action and role in solid malignancy therapy
,N,Feasibility and accuracy of mobile QT interval monitoring strategies in bedaquiline-enhanced prophylactic leprosy treatment.
,N,Feature Extraction of the VSD Heart Disease based on Audicor Device Measurement
,N,Fetal cardiac time intervals in healthy pregnancies - An observational study by fetal ECG (Monica Healthcare System)
,N,Fetal cardiac time intervals in healthy pregnancies - an observational study by fetal ECG (Monica Healthcare System).
,N,Fetal Heart Rate < 3rd Percentile for Gestational Age Can Be a Marker of Inherited Arrhythmia Syndromes
,N,Fetal Heart Rate Analysis in Pregnancies Complicated by Gestational Diabetes Mellitus: A Prospective Multicentre Observational Study
,N,Fetal magnetocardiography (fMCG): Moving forward in the establishment of clinical reference data by advanced biomagnetic instrumentation and analysis
,N,Fiducial Point Estimation Solution for Impedance Cardiography Measurements
,N,Focal atrial tachycardia arising from the cavotricuspid isthmus with saw-tooth morphology on the surface ECG: Electrocardiographic and electrophysiologic characteristics.
,N,Frequency-Based Maternal Electrocardiogram Attenuation for Fetal Electrocardiogram Analysis
,N,Functional Characterization of a Spectrum of Novel Romano-Ward Syndrome KCNQ1 Variants
,N,Glucose and Fructose Supplementation and Their Acute Effects on Electrocardiographic Time Intervals during Anaerobic Cycling Exercise in Healthy Individuals: A Secondary Outcome Analysis of a Double-Blind Randomized Crossover-Controlled Trial
,N,Gonadotropin stimulation increases the expression of angiotensin-(1--7) and MAS receptor in the rat ovary.
,N,Graphics-Processor-Unit-Based Parallelization of Optimized Baseline Wander Filtering Algorithms for Long-Term Electrocardiography
,N,Gyrocardiography: A New Non-invasive Monitoring Method for the Assessment of Cardiac Mechanics and the Estimation of Hemodynamic Variables.
,N,Habituation of the stress response multiplex to repeated cold pressor exposure.
,N,Haemodynamic changes associated with atropine/neostigmine administration. A non-invasive investigation.
,N,Harnessing the Manifold Structure of Cardiomechanical Signals for Physiological Monitoring During Hemorrhage
,N,HEAR: Approach for Heartbeat Monitoring with Body Movement Compensation by IR-UWB Radar
,N,"Heart Rate Variability Analysis on Electrocardiograms, Seismocardiograms and Gyrocardiograms of Healthy Volunteers and Patients with Valvular Heart Diseases"
,N,"Heart Rate Variability Analysis on Electrocardiograms, Seismocardiograms and Gyrocardiograms on Healthy Volunteers"
,N,Heart Rate Variability and Global Longitudinal Strain for Prognostic Evaluation and Recovery Assessment in Conservatively Managed Post-Myocardial Infarction Patients
,N,Heart Rate Variability Monitoring during Sleep Based on Capacitively Coupled Textile Electrodes on a Bed
,N,Heartbeats Do Not Make Good Pseudo-Random Number Generators: An Analysis of the Randomness of Inter-Pulse Intervals
,N,Heartprint: A Dataset of Multisession ECG Signal with Long Interval Captured from Fingers for Biometric Recognition
,N,"Heavy alcohol use, rather than alcohol dependence, is associated with dysregulation of the hypothalamic-pituitary-adrenal axis and the autonomic nervous system."
,N,"Hemodynamic and humoral effects at rest and after head-up tilt tests during 24-hour infusion of a new nitrate ester, ITF 296, compared with ISDN and placebo in healthy volunteers: a double-blind, randomized, within-subject study."
,N,Hemodynamic effects of epinephrine in rats: evaluation by impedance cardiography.
,N,Hemodynamic monitoring during long term space flight - Comparison between lateral (4 electrodes) and longitudinal (8 electrodes) impedance cardiography techniques
,N,Heritability of indices for cardiac contractility in ambulatory recordings.
,N,Holter ECG Monitoring during Research Bronchofiberoscopy in Patients with Asthma
,N,Holter-type impedance cardiography device. A system for continuous and non-invasive monitoring of cardiac haemodynamics.
,N,How to define end-diastole and end-systole?: Impact of timing on strain measurements.
,N,Human-Assisted vs. Deep Learning Feature Extraction: An Evaluation of ECG Features Extraction Methods for Arrhythmia Classification Using Machine Learning
,N,Hybrid Deep Learning and Discrete Wavelet Transform-Based ECG Biometric Recognition for Arrhythmic Patients and Healthy Controls
,N,Hybrid Feature Selection and Classifying Stages through Electrocardiogram (ECG) Signal for Heart Disease Prediction
,N,Hybrid machine learning to localize atrial flutter substrates using the surface 12-lead electrocardiogram.
,N,Hypothyroidism and Heart Rate Variability: Implications for Cardiac Autonomic Regulation
,N,Identifying fetal heart anomalies using fetal ECG and Doppler cardiogram signals
,N,IEEE Standard for Wearable Cuffless Blood Pressure Measuring Devices
,N,Imaging of heart acoustic based on the sub-space methods using a microphone array
,N,Impact of paramedic education on door-to-balloon times and appropriate use of the primary PCI pathway in ST-elevation myocardial infarction.
,N,In utero diagnosis of long QT syndrome by magnetocardiography
,N,Incidence of Atrial Fibrillation in African Americans post Atrial Flutter Ablation.
,N,"Incidence, duration, pattern, and burden of de novo atrial arrhythmias detected by continuous ECG monitoring using an implantable loop recorder following ablation of the cavotricuspid isthmus."
,N,Indirect measurement of the carotid arterial pressure from vibrocardiographic signal: Calibration of the waveform and comparison with photoplethysmographic signal
,N,Influence of Photoplethysmogram Signal Quality on Pulse Arrival Time during Polysomnography
,N,Initial Systolic Time Interval (ISTI) as a predictor of Intradialytic Hypotension (IDH)
,N,Intelligent phonocardiogram analysis and representation tool
,N,Inter-Patient Atrial Flutter Classification Using FFT-Based Features and a Low-Variance Stacking Classifier.
,N,Interval-Based LDA Algorithm for Electrocardiograms for Individual Verification
,N,Investigating the Immediate Influence of Moderate Pedal Exercises during an Assembly Work on Performance and Workload in Healthy Men
,N,Is electrocardiography a reliable tool for identifying patients with isthmus-dependent atrial flutter?
,N,Is proximal coronary sinus involved in the circuit in some cases of ECG “typical” atrial flutter?
,N,Late potential recognition by artificial neural networks.
,N,Left ventricular ejection times during exercise testing with scintigraphy. Their use in the detection of ischemic heart disease.
,N,Left ventricular function after myocardial infarction: relation between systolic time intervals and quantitative ischaemic ECG changes.
,N,Left ventricular function in varicose veins.
,N,Left ventricular performance during and after sickle cell crisis.
,N,Left ventricular systolic function in dogs with pulmonic stenosis
,N,Long term outcome of cavotricuspid isthmus cryoablation for the treatment of common atrial flutter in 180 patients: A single center experience.
,N,Longitudinal layered strain in observation on left ventricular systolic function of breast cancer patients during neoadjuvant chemotherapy; [纵向分层应变评价乳腺癌新辅助化疗患者左心室收缩功能]
,N,Long-term coenzyme Q10 therapy: a major advance in the management of resistant myocardial failure.
,N,Long-term ECG monitoring using an implantable loop recorder for the detection of atrial fibrillation after cavotricuspid isthmus ablation in patients with atrial flutter-
,N,Long-term ECG monitoring using an implantable loop recorder for the detection of atrial fibrillation after cavotricuspid isthmus ablation in patients with atrial flutter.
,N,Long-term follow-up in arrhythmogenic right ventricular cardiomyopathy using tissue Doppler imaging
,N,Measurement of systolic time intervals by electrical plethysmography: validation with invasive and noninvasive methods.
,N,Measurement of systolic time intervals during exercise using inductive plethysmography.
,N,Measurements of systolic time intervals using a transoesophageal pulsed echo-Doppler.
,N,Measures of spatiotemporal organization differentiate persistent from long-standing atrial fibrillation.
,N,Measuring Electromechanical Coupling in Patients with Coronary Artery Disease and Healthy Subjects
,N,Mechanical deconditioning of the heart due to long-term bed rest as observed on seismocardiogram morphology.
,N,Mechanisms of Intra-Atrial Re-Entrant Tachycardias in Congenital Heart Disease: Types and Predictors.
,N,Mechanocardiogram Measured at the Back of Subjects Sitting in a Chair as a Non-intrusive Pre-ejection Period Measurement
,N,Mechanocardiography detects improvement of systolic function caused by resynchronization pacing.
,N,Missing RRI Interpolation Algorithm based on Locally Weighted Partial Least Squares for Precise Heart Rate Variability Analysis
,N,Mobile Cardiac Acoustic Monitoring System to Evaluate Left Ventricular Systolic Function in Pacemaker Patients.
,N,"Moderately Prolonged QTc in Computer-Assessed ECG, Random Variation or Significant Risk Factor? A Literature Review"
,N,Molecularly targeted therapies in myelodysplastic syndromes and acute myeloid leukemias
,N,Morphographic Changes in the Electrocardiogram of Colossoma macropomum Caused by Exposure to Manganese
,N,Multimodal Assessment of the Pulse Rate Variability Analysis Module of a Photoplethysmography-Based Telemedicine System
,N,Multiscale Cumulative Residual Dispersion Entropy with Applications to Cardiovascular Signals
,N,Multi-Session Electrocardiogramâ€“Electromyogram Database for User Recognition
,N,Mutational analysis and overcoming imatinib resistance in chronic myeloid leukemia with novel tyrosine kinase inhibitors
,N,Myocardial Contractility Assessment using Fiber Optic Sensors
,N,Myocardial contractility in chickens (Gallus gallus): Analysis of systolic time intervals
,N,Myocardial contractility: A seismocardiography approach.
,N,Myocardial infarction with nonobstructive coronaries (MINOCA) following rabies postexposure prophylaxis: A case report.
,N,Natural history and postoperative evaluation of complete transposition of the great arteries.
,N,New automated detection method of OSA based on artificial neural networks using P-wave shape and time changes
,N,New non-invasive approach to detect cardiac contractility using the first sound of phonocardiogram.
,N,New Observations on Mapping and Ablation of Atrial Flutter
,N,New-onset atrial fibrillation after cavotricuspid isthmus ablation: Identification of advanced interatrial block is key.
,N,Nilotinib therapy in chronic myelogenous leukemia: The strength of high selectivity on BCR/ABL
,N,Nocturnal Heart Rate Variability Might Help in Predicting Severe Obstructive Sleep-Disordered Breathing
,N,Nonalcoholic Fatty Liver Disease Is Related to Abnormal Corrected QT Interval and Left Ventricular Hypertrophy in Chinese Male Steelworkers
,N,Non-contact assessment of cardiac physiology using FO-MVSS-based ballistocardiography: a promising approach for heart failure evaluation
,N,Noninvasive Accelerometric Approach for Cuffless Continuous Blood Pressure Measurement
,N,Non-invasive assessment of cardiac function in meningitis.
,N,Noninvasive assessment of left ventricular function related to serum digoxin levels in neonates.
,N,Noninvasive cardiovascular monitoring based on electrocardiography and ballistocardiography: a feasibility study on patients in the surgical intensive care unit.
,N,Noninvasive characterization of intra-atrial reentrant tachyarrhythmias after surgical repair of congenital heart diseases.
,N,Noninvasive continuous blood pressure estimation with peripheral pulse transit time
,N,Non-Invasive Heart Failure Evaluation Using Machine Learning Algorithms
,N,Noninvasive Hemodynamic Monitoring in Advanced Heart Failure Patients: New Approach for Target Treatments
,N,Non-Invasive Measurement for Cardiac Variations Using a Fiber Optic Sensor
,N,"Non-invasive measurement of volume-time curves in patients with mitral regurgitation and in healthy volunteers, using a new operator-independent screening tool."
,N,Noninvasive tests to evaluate the severity of aortic stenosis. Limitations and reliability.
,N,"Nonphysiological left heart AV intervals as a result of DDD and AAI ""physiological"" pacing."
,N,Novel DERMA Fusion Technique for ECG Heartbeat Classification
,N,NT-proBNP for prognostic and diagnostic evaluation in patients with acute coronary syndromes.
,N,"Obesity, Nutrition and Heart Rate Variability"
,N,On the Impact of the Data Acquisition Protocol on ECG Biometric Identification
,N,On the Robustness of Multiscale Indices for Long-Term Monitoring in Cardiac Signals
,N,On the Variability of Heart Rate Variabilityâ€”Evidence from Prospective Study of Healthy Young College Students
,N,Outcomes of cavotricuspid isthmus-dependent flutter ablation: randomized study comparing single vs. multiple catheter procedures-the SIMPLE study.
,N,Overdosage of antidepressants: clinical and pharmacokinetic aspects.
,N,Oxygen Saturation and RR Intervals Feature Selection for Sleep Apnea Detection
,N,Pathophysiology of Typical Atrial Flutter.
,N,PE3-034 A Case of Left Ventricular Noncompaction Accompanying Fasciculo-Ventricular Accessory Pathway and Atrial Flutter
,N,Pelvic Electric Potential as a Marker of Autonomic Dysfunctions and Risk Factor of Neurogenic Arrhythmias in Humans.
,N,PEP reward reactivity moderates the effects of RSA reactivity on antisocial behavior and substance use.
,N,Periovulatory Hormonal Profiles after Estrus Induction and Conception Rate by Fixed-Time AI in Payoya Goats during the Anestrous Season
,N,Persistent Increase of Sympathetic Activity in Post-Acute COVID-19 of Paucisymptomatic Healthcare Workers
,N,Pharmacy-Based Opportunistic Atrial Fibrillation Screening at a Community Level: A Real-Life Study.
,N,Physiological responses to workload change. A test/retest examination
,N,Post-Exercise Recovery of Ultra-Short-Term Heart Rate Variability after Yo-Yo Intermittent Recovery Test and Repeated Sprint Ability Test
,N,Practical Application of a New Cuffless Blood Pressure Measurement Method
,N,Preclinical cardiomyopathy in chronic alcoholics: a sex difference.
,N,Prediction and Detection of Ventricular Fibrillation Using Complex Features and AI-Based Classification
,N,Prediction and monitoring of fluid responsiveness after coronary bypass surgery using the Initial Systolic Time Interval: Preliminary results
,N,Prediction of atrial fibrillation termination by catheter ablation using adaptive frequency tracking of atrial ECG signals
,N,Prediction of electrocardiography features points using seismocardiography data: A machine learning approach
,N,Prediction of pregnancy outcome by combined analysis of the fetal electrocardiogram and systolic time intervals.
,N,Prediction of the progression of cardiac hypertrophy in middle-aged mild hypertensives.
,N,Predictors of unusual ECG characteristics in cavotricuspid isthmus-dependent atrial flutter ablation.
,N,Preliminary experience of permanent left bundle branch area pacing using stylet-directed pacing lead without delivery sheath.
,N,Prevalence and Clinical Characteristics of Patients with Torsades de Pointes Complicating Acquired Atrioventricular Block
,N,Preventing atrial fibrillation by combined right isthmus ablation and cryoballoon pulmonary vein isolation in patients with typical atrial flutter: PAF-CRIOBLAF study.
,N,Printed and Flexible ECG Electrodes Attached to the Steering Wheel for Continuous Health Monitoring during Driving
,N,Private Weakly-Random Sequences from Human Heart Rate for Quantum Amplification
,N,Prolonged fetal pre-ejection period corrected for PR interval associated with cerebral palsy.
,N,Prospective Evaluation of a Standardized Screening for Atrial Fibrillation after Ablation of Cavotricuspid Isthmus Dependent Atrial Flutter.
,N,Prospective observations in the clinical and electrophysiological characteristics of intra-isthmus reentry.
,N,Prospective randomized comparison of durability of bidirectional conduction block in the cavotricuspid isthmus in patients after ablation of common atrial flutter using cryothermy and radiofrequency energy: The CRYOTIP study.
,N,Prospective teachers' problem solving skills and self-confidence levels
,N,Protective effects of Carthamus tinctorius injection on isoprenaline-induced myocardial injury in rats.
,N,Protein Kinase B2 (PKB2/AKT2) Is Essential for Host Protection in CVB3-Induced Acute Viral Myocarditis
,N,"pRR30, pRR3.25% and Asymmetrical Entropy Descriptors in Atrial Fibrillation Detection"
,N,Pseudo Asynchronous Level Crossing adc for ecg Signal Acquisition
,N,Pulmonary Vein Isolation to Reduce Future Risk of Atrial Fibrillation in Patients Undergoing Typical Flutter Ablation: Results from a Randomized Pilot Study (REDUCE AF).
,N,Pulse transit time measured from the ECG: an unreliable marker of beat-to-beat blood pressure.
,N,QT interval instability and QRS interval dispersion in healthy cats and cats with a hypertrophic cardiomyopathy phenotype.
,N,QT interval measurements
,N,Quantifying and Reducing Posture-Dependent Distortion in Ballistocardiogram Measurements
,N,Radiofrequency ablation of coronary sinus-dependent atrial flutter guided by fractionated mid-diastolic coronary sinus potentials.
,N,Randomised comparison of the cardiac effects of halofantrine and chloroquine plus chlorpheniramine in children with acute falciparum malaria using a novel method: Disposition kinetics of the relative increase in electrocardiographic time intervals (DISKRIETI)
,N,Rapid Assessment of Cardiac Contractility on a Home Bathroom Scale
,N,Real-Time Magnetocardiography with Passive Miniaturized Coil Array in Earth Ambient Field
,N,Real-Time Psychological Stress Detection According to ECG Using Deep Learning
,N,ReBeatICG: Real-time Low-Complexity Beat-to-beat Impedance Cardiogram Delineation Algorithm.
,N,Recent advances in the development of novel anti-cancer drugs targeting cancer stem/progenitor cells
,N,Recommended Standards for Fetal Magnetocardiography
,N,Recovery Assessment of Open-heart Cardiac Surgery Patients Using Heart Rate Variability Parameters
,N,Recovery from Severe COVID-19 Is an Independent Predictor of Electrocardiographic Abnormal P-Wave Axis
,N,Reduced caregiving quality measured during the strange situation procedure increases child's autonomic nervous system stress response.
,N,"Reduction of radiation exposure during atrial fibrillation ablation using a novel fluoroscopy image integrated 3-dimensional electroanatomic mapping system: A prospective, randomized, single-blind, and controlled study"
,N,Reentry mechanisms and ablation of ECG-typical atrial flutters involving the cavo-tricuspid isthmus and the proximal coronary sinus.
,N,Reliable Detection of Atrial Fibrillation with a Medical Wearable during Inpatient Conditions
,N,Remotely Controlled Real-Time Health Surveillance System of COVID-19 Patients
,N,Responses to voluntary hyperventilation in children with separation anxiety disorder: implications for the link to panic disorder.
,N,Rhythm Analysis during Cardiopulmonary Resuscitation Using Convolutional Neural Networks
,N,Role of Heart Rate Variability in Predicting Post-Endoscopic Retrograde Cholangiopancreatography Pancreatitis.
,N,Role of left atrial speckle tracking echocardiography in predicting persistent atrial fibrillation electrical cardioversion success and sinus rhythm maintenance at 6 months.
,N,RZ Interval as an Impedance Cardiography Indicator of Effort-Related Cardiac Sympathetic Activity.
,N,Safety and efficacy of long-term sodium channel blocker therapy for early rhythm control: the EAST-AFNET 4 trial.
,N,Safety of single-dose bedaquiline combined with rifampicin for leprosy post-exposure prophylaxis: A Phase 2 randomized non-inferiority trial in the Comoros Islands.
,N,SDNN24 Estimation from Semi-Continuous HR Measures
,N,Seismocardiography-based detection of cardiac quiescence
,N,Severity of aortic stenosis assessed by carotid pulse recordings and phonocardiography.
,N,Sex Differences in Mouse Cardiac Electrophysiology Revealed by Simultaneous Imaging of Excitation-Contraction Coupling
,N,Short-Term Effect of Percutaneous Coronary Intervention on Heart Rate Variability in Patients with Coronary Artery Disease
,N,Short-Term Effects of 3D-Printed Occlusal Splints and Conventional Splints on Sleep Bruxism Activity: EMGâ€“ECG Night Recordings of a Sample of Young Adults
,N,Short-term hemodynamic variability in supine and tilted position in young women
,N,Sildenafil citrate therapy in 22 dogs with pulmonary hypertension
,N,Similarity Changes Analysis for Heart Rate Fluctuation Regularity as a New Screening Method for Congestive Heart Failure
,N,"Sleep Stage Classification Through HRV, Complexity Measures, and Heart Rate Asymmetry Using Generalized Estimating Equations Models"
,N,Sleep Stage Estimation from Bed Leg Ballistocardiogram Sensors
,N,Spontaneous Scar-Based Atypical and Typical AFL
,N,StressNet: Detecting Stress in Thermal Videos
,N,Structural and functional affection of the heart in protein energy malnutrition patients on admission and after nutritional recovery.
,N,"Structural, Pro-Inflammatory and Calcium Handling Remodeling Underlies Spontaneous Onset of Paroxysmal Atrial Fibrillation in JDP2-Overexpressing Mice"
,N,Study of STI change characteristics of different groups during exhaustive load process with vibration and friction
,N,Study of the Arrhythmogenic Profile of Dogs with Myxomatous Mitral Valve Disease in Stages B1 and B2
,N,Study on the variability of pulse wave and ECG of graduate students with different body positions
,N,Subcutaneously Insertable Cardiac Monitor for Atrial Fibrillation and HF Using ECG and Phonocardiography as Biomarkers
,N,Supermarket/Hypermarket Opportunistic Screening for Atrial Fibrillation (SHOPS-AF): A Mixed Methods Feasibility Study Protocol.
,N,Suppressing the Influence of Ectopic Beats by Applying a Physical Threshold-Based Sample Entropy
,N,Surface electrocardiographic characteristics of right and left atrial flutter.
,N,Susceptibility to paroxysmal atrial fibrillation: A study using sinus rhythm P wave parameters
,N,Systolic Blood Pressure Estimation Using Wearable Radar and Photoplethysmogram Signals
,N,Systolic time interval as index of schedule--dependent doxorubicin cardiotoxicity in patients with acute myelogenous leukaemia.
,N,Systolic time intervals after a seven-day orbital flight.
,N,Systolic time intervals as a measure of left ventricular function in viscose rayon workers exposed to carbon disulfide.
,N,Systolic time intervals in burn injury.
,N,Systolic time intervals in induced atrial fibrillation in the dog.
,N,Systolic time intervals in the nonasphyxiated fetus.
,N,Telemedicine for Pre-Employment Medical Examinations and Follow-Up Visits on Board Ships: A Narrative Review on the Feasibility
,N,Textrode-enabled transthoracic electrical bioimpedance measurements - Towards wearable applications of impedance cardiography
,N,The benefit of tissue contact monitoring with an electrical coupling index during ablation of typical atrial flutter—a prospective randomised control trial.
,N,The benefit of tissue contact monitoring with an electrical coupling index during ablation of typical atrial flutter--a prospective randomised control trial.
,N,The cardiovascular effects of inhaled fenoterol alone and during treatment with oral theophylline.
,N,The Case of Myocardial Infarction in a Fifteen-Year-Old Adolescent Caused by Toxic Substances
,N,The Delineation of Fiducial Points for Non-Contact Radar Seismocardiogram Signals Without Concurrent ECG.
,N,"The effect of mild dynamic exercise on the electromechanical systole of heart in non-athlete, healthy first year medical students of Bengal as a predictive biomarker of arrhythmia"
,N,The effectiveness and feasibility of using multi-lead ECG monitoring combined with a programmed intracavitary ECG to complete left bundle branch area pacing.
,N,"The effects of chewing versus caffeine on alertness, cognitive performance and cardiac autonomic activity during sleep deprivation."
,N,The Effects of Compression on the Detection of Atrial Fibrillation in ECG Signals
,N,The Framingham Study on Cardiovascular Disease Risk and Stress-Defenses: A Historical Review
,N,The Hemisphere of the Brain in Which a Stroke Has Occurred Visible in the Heart Rate Variability
,N,The hemodynamic and pharmacokinetic interactions between chronic use of oral levosimendan and digoxin in patients with NYHA Classes II- III heart failure
,N,The Implantation of Left Bundle Branch Area Pacing in Patients with and without Bundle Branch Block.
,N,The influence of cardiac preload and positive end-expiratory pressure on the pre-ejection period.
,N,The pre-ejection period is a highly stress dependent parameter of paramount importance for pulse-wave-velocity based applications.
,N,The Role of Galectin-3 Levels for Predicting Paroxysmal Atrial Fibrillation in Patients with Embolic Stroke of Undetermined Source
,N,The sawtooth EKG pattern of typical atrial flutter is not related to slow conduction velocity at the cavotricuspid isthmus.
,N,The Virtual Sleep Labâ€”A Novel Method for Accurate Four-Class Sleep Staging Using Heart-Rate Variability from Low-Cost Wearables
,N,Therapeutic options for patients with clonal and idiopathic hypereosinophia
,N,Time delays in ultrasound systems can result in fallacious measurements
,N,Transcutaneous Cervical Vagus Nerve Stimulation Inhibits the Reciprocal of the Pulse Transit Time’s Responses to Traumatic Stress in Posttraumatic Stress Disorder.
,N,"Tumor Necrosis Factor-Related Apoptosis-Inducing Ligand (TRAIL) in Patients after Acute Stroke: Relation to Stroke Severity, Myocardial Injury, and Impact on Prognosis"
,N,Two-dimensional Speckle Tracking Imaging in Cardiotoxicity Caused by Treatment of Breast Carcinoma with Anthracyclines.
,N,Two-dimensional speckle tracking imaging in evaluation of right ventricular myocardial function in patients with different region myocardial infarction in left ventricle
,N,Unobtrusive Estimation of Cardiac Contractility and Stroke Volume Changes Using Ballistocardiogram Measurements on a High Bandwidth Force Plate.
,N,Unusual mechanism of complete atrioventricular block following atrial flutter ablation.
,N,Unveiling gender differences in psychophysiological dynamics: support for a two-dimensional autonomic space approach.
,N,Use of a Cardiac Scale to Predict Heart Failure Events: Design of SCALE-HF 1
,N,Usefulness of Combining Electrocardiographic and Echocardiographic Findings and Brain Natriuretic Peptide in Early Detection of Cardiac Amyloidosis in Subjects With Transthyretin Gene Mutation.
,N,Usefulness of rapid bedside assay of cardiac troponin I and creatine phosphokinase-MB in acute ischemic coronary syndromes; [Utilidad de la determinación cualitativa de troponina I y creatinfosfocinasa isoenzima MB en los síndromes isquémicos coronarios agudos]
,N,Using postoperative cardiac Troponin-I (cTi) levels to detect myocardial ischaemia in patients undergoing vascular surgery.
,N,Using time interval parameters from impedance cardiography to evaluate autonomic nervous function in Parkinson's disease
,N,Utility of the Full ECG Waveform for Stress Classification
,N,Validation of a new impedance cardiography analysis algorithm for clinical classification of stress states.
,N,Validation of Sympathetic Activity Index from Heartbeat series: a Preliminary Study on Pre-ejection periods
,N,Validity and Efficacy of the Elite HRV Smartphone Application during Slow-Paced Breathing
,N,Validity of the Polar H10 Sensor for Heart Rate Variability Analysis during Resting State and Incremental Exercise in Recreational Men and Women
,N,Validity of the Polar V800 Monitor for Assessing Heart Rate Variability in Elderly Adults under Mental Stress and Dual Task Conditions
,N,Value of multi-detector computed tomography in delineation of the normal cardiac conduction system and related anatomic structures
,N,Variations in the pre-ejection period induced by ventricular extra systoles may be feasible to predict fluid responsiveness.
,N,"Ventricular arrhythmia in Duchenne muscular dystrophy: prevalence, significance and prognosis."
,N,"Ventricular Repolarization is Associated with Cognitive Function, but Not with Cognitive Decline and Brain Magnetic Resonance Imaging (MRI) Measurements in Older Adults"
,N,Wavelet Entropy Automatically Detects Episodes of Atrial Fibrillation from Single-Lead Electrocardiograms
,N,Wearable Seismocardiography-Based Assessment of Stroke Volume in Congenital Heart Disease
,N,Wearable Sensing of In-Ear Pressure for Heart Rate Monitoring with a Piezoelectric Sensor
,N,Weighing Scale-Based Pulse Transit Time is a Superior Marker of Blood Pressure than Conventional Pulse Arrival Time.
,N,What Is the Importance of Electrocardiography in the Routine Screening of Patients with Repaired Tetralogy of Fallot?
,N,Where to B in dZ/dt
